"REF_DATE","GEO","DGUID","Distribution","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028668","1.1.1","1750848.0","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028669","1.1.2","67662.0","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028670","1.1.3","332559.3","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314460","1.1.4","16823","","","","0"
"2016-01","Canada","2016A000011124","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028671","1.2.1","2180757.0","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028672","1.2.2","84444.3","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028673","1.2.3","460806.8","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314461","1.2.4","484906","","","","0"
"2016-01","Canada","2016A000011124","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028674","1.3.1","2575254.0","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028675","1.3.2","100110.9","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028676","1.3.3","644030.6","","","","1"
"2016-01","Canada","2016A000011124","Deliveries to residential consumers","Customers","Customers","76","units","0","v1062314462","1.3.4","4942965","","","","0"
"2016-01","Nova Scotia","2016A000212","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028677","2.1.1","11787.0","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028678","2.1.2","474.5","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028679","2.1.3","1462.4","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314463","2.1.4","6","","","","0"
"2016-01","Nova Scotia","2016A000212","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028680","2.2.1","12288.0","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028681","2.2.2","494.7","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028682","2.2.3","6515.6","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314464","2.2.4","3113","","","","0"
"2016-01","Nova Scotia","2016A000212","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028683","2.3.1","924.0","","","","1"
"2016-01","Nova Scotia","2016A000212","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028684","2.3.2","37.2","","","","1"
